"","TotalCases_Q25","TotalCases_med","TotalCases_Q75","AcuteCases_Q25","AcuteCases_med","AcuteCases_Q75","AsympCases_Q25","AsympCases_med","AsympCases_Q75","MildCases_Q25","MildCases_med","MildCases_Q75","SevereCases_Q25","SevereCases_med","SevereCases_Q75"
"Tolima",10143.8655179747,14826.9883318796,19454.4407423767,415.843276473799,587.279036391108,815.870134138791,7192.29012627065,10448.1295224938,13854.950624369,1990.94432987264,3081.43553212883,4337.48980605619,423.991111443004,651.781148500171,1448.46983209088
"Valle del Cauca",16041.9107900926,25545.3835697335,38386.7032305678,622.845050010694,1112.20464908868,1688.5917641438,11297.7681486224,17618.5905792554,26761.1345669272,3318.07779879591,5306.93699245249,8273.43786991859,686.966997958722,1077.49864235337,1834.2086240211
"Arauca",2631.72396691823,3706.66586073967,5881.72644549699,115.110901062307,169.657042347325,287.27448615475,1814.64674425039,2593.48277939095,4370.74383290934,511.255146071765,737.160424530011,1250.1704447601,96.5540927443105,155.80801733404,319.9402402824
"Casanare",4529.7093297815,6152.12068734483,10260.8453909736,176.752585067718,280.827627660329,502.51940558271,3216.35015464192,4348.13541682924,7012.80103318929,911.04279790886,1259.12388438464,2186.73325268209,171.741688610574,271.552062491621,515.180161838036
"Putumayo",2532.92863077542,3663.79424350689,5389.42549521492,96.5545570006461,165.114553548943,257.229932835715,1781.611000923,2589.49200533435,3794.19655322384,505.97292966335,756.895777584433,1155.65520347537,106.196522472751,166.412852456715,446.183547912538
"Archipiélago de San Andrés",478.32730156668,863.888511001062,1729.23753831434,17.3301307397669,37.4977416424298,72.1316800552422,313.347464488737,600.604708929723,1245.3148193704,95.0765622904313,185.353120338098,363.989588563613,14.5255967074456,34.5297005994543,106.267412551492
"Amazonas",407.38917504661,583.991606859499,864.151455549618,19.4342328602406,30.6317957394033,46.4542995733258,288.195286328592,414.262254949074,600.903608686404,78.7679317592001,113.276763100873,168.340081572579,13.8429993421158,22.4469014168169,53.766692563408
"Guainía",239.025432768084,318.759711269209,444.541513883335,12.1420643303995,18.0751513120447,26.5325778689764,170.283517377399,231.432242863899,332.589055546969,40.6237298419215,58.551279388805,78.8595445801822,5.78390159330235,10.8651241816865,19.6701026358434
"Guaviare",573.52527722873,1004.86611691985,1669.70024082688,28.4884751967988,46.1947177919377,78.9919920247676,391.584885983189,716.838536712476,1213.12481590787,117.53983215183,191.384077924936,356.185307570606,16.295634568654,36.6886813624606,96.5505574898677
"Vaupés",212.948298702345,327.084183639002,531.648509429818,11.9343633396203,19.9455194397212,32.9324985899265,149.559798646929,237.481969350487,396.502100420987,40.5289186320238,58.8112722188335,101.208351394919,6.06009925277774,11.2047830204242,26.2554395069737
"Vichada",988.029955309362,1598.49485377675,2701.52683575732,50.6265621262337,91.3676078434969,155.285898197637,702.045507273172,1121.8188621057,2008.52744779535,164.464674645709,310.06431182174,569.423886650237,26.6386216963616,65.3855826550165,149.050138103541
"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
