"","Year","NbCasesTotal_Q2.5","NbCasesTotal_Med","NbCasesTotal_Q97.5","NbCasesUrban_Q2.5","NbCasesUrban_Med","NbCasesUrban_Q97.5","NbCasesRural_Q2.5","NbCasesRural_Med","NbCasesRural_Q97.5","PrevTotal_Q2.5","PrevTotal_Med","PrevTotal_Q97.5","PrevUrban_Q2.5","PrevUrban_Med","PrevUrban_Q97.5","PrevRural_Q2.5","PrevRural_Med","PrevRural_Q97.5"
"24",2008,8607.90185642911,11690.3107511246,18048.8883921376,6002.0580223169,8912.16598285876,14699.5598007784,2295.3089735194,3006.46958274517,4170.95971319417,0.00177292133651722,0.00240778783342023,0.00371742845870612,0.00175711578827835,0.00260905634334295,0.00430332871002787,0.00159468438775795,0.00208876894622237,0.00289780783908999
"25",2009,8513.09604292206,11582.8845676725,17697.4566858947,5994.18534660745,8672.88636028776,14281.078708785,2280.64381874798,2972.87138530118,4161.41250204357,0.00177225094834488,0.00241131758130392,0.00368424533644798,0.00177812491834419,0.00257273915627638,0.00423636248206728,0.00159209581344507,0.0020753333105066,0.00290504258843834
"26",2010,8281.88572625365,11419.867331769,17435.6557902125,5849.65436934055,8422.57453358557,14083.1136974919,2240.77460226846,2927.19570377429,4158.58345346854,0.0017418053837406,0.0024017702076018,0.00366698118378623,0.00175710200094395,0.00252994820405622,0.00423024433496125,0.00157178733371711,0.00205327618665698,0.0029170309194643
"27",2011,8090.84651205707,11299.45421566,17334.4852831557,5707.66688208699,8323.25428157797,13868.667835952,2212.31510656037,2927.31731738191,4111.61159621303,0.00171803963352402,0.00239936700699546,0.00368086734791222,0.00173441507087024,0.00252922568238174,0.00421433608591629,0.00155959717547295,0.00206364627098717,0.00289852824901854
"28",2012,7887.13442308592,11264.1245346006,17242.3386996103,5596.08123936669,8167.16638440694,13751.3696054436,2185.73534906428,2881.19805112603,4079.03721698911,0.00168972173584958,0.0024132004148072,0.00369395941729273,0.00171809926188712,0.00250746941235378,0.00422192190543025,0.00154953281463137,0.00204256701415522,0.00289175083457983
"29",2013,7776.84457816626,11142.2733173799,17041.7422587458,5428.32880437627,8182.01756389534,13592.7686918673,2166.08652385756,2869.41172564214,4021.41563908991,0.00168017101016576,0.0024072648523496,0.0036818327816721,0.00168162278676972,0.00253467829106152,0.00421085575160928,0.00154657167020752,0.0020487412834905,0.00287126457463475
"30",2014,7540.04444812131,11052.311210838,16904.2877017106,5341.13902443114,8151.08293067554,13438.0799612333,2106.48137327258,2847.22209356945,3964.1899610374,0.00164237879699758,0.00240742368501844,0.00368210610569463,0.00166752544367515,0.00254480142123904,0.00419542351303694,0.00151775159901936,0.00205146645971272,0.0028562586541336
"31",2015,7185.5552606811,10931.2809423081,16769.7390613502,5163.57753216402,8075.77660478066,13251.1090979363,2051.11791412391,2804.98396347107,3904.24387428739,0.00157714929207845,0.00239929433067051,0.00368077081442442,0.0016217683785085,0.00253642732155183,0.00416188767987627,0.00149485097835609,0.00204426717410775,0.00284540578336867
"32",2016,6952.68667752336,10775.9047933981,16672.85330771,4868.55979348938,7867.69586148384,13129.2231961266,1987.1800107317,2736.95016725431,3859.83163577544,0.00153422722757597,0.00237788459377073,0.0036791454429787,0.00153189399476906,0.00247557317853916,0.00413111454377638,0.00146808335382088,0.00202199647695925,0.00285155574353159
"33",2017,6876.96213624639,10666.4798630902,16600.4276390612,4834.11524769698,7833.67150596162,13111.2830486303,1947.7340107254,2689.099994405,3810.37495106425,0.00152379953012703,0.00236348211339112,0.00367832821166532,0.00151810637787228,0.00246008753742939,0.00411746956750712,0.00146586139450859,0.00202381220744997,0.00286768188500617
"34",2018,6950.42233076316,10817.5413121573,16783.7469203327,4835.7383060382,7864.1120692653,13173.8719475313,1997.12296590974,2778.10873032845,3932.9717023169,0.00151996950858832,0.00236565954842751,0.00367039330054174,0.00151555147968208,0.00246466329000447,0.00412877617845716,0.00144510353229701,0.00201021910409709,0.00284586948147849
"35",2019,7087.57547332579,11030.947680512,17152.93452115,4946.68634969069,8059.731404898,13510.5712828589,2027.43497750789,2819.38103618105,3984.9518415692,0.00152136107150027,0.00236781314654731,0.00368190884748708,0.00151388700664435,0.00246660527641529,0.00413478374644501,0.00145736275911367,0.00202663018615382,0.0028644669127209
"36",2020,7199.67736159507,11199.8282226112,17413.01128902,5044.38408840779,8215.9412162214,13746.4787073732,2047.2347782003,2848.1539448714,4017.43990592058,0.001526937629988,0.00237530632327083,0.00369302412500325,0.00151813713368635,0.00247263595117454,0.00413708381783417,0.00147033121262221,0.00204555417292143,0.00288533945955227
