"","Year","NbCasesTotal_Q2.5","NbCasesTotal_Med","NbCasesTotal_Q97.5","NbCasesUrban_Q2.5","NbCasesUrban_Med","NbCasesUrban_Q97.5","NbCasesRural_Q2.5","NbCasesRural_Med","NbCasesRural_Q97.5","PrevTotal_Q2.5","PrevTotal_Med","PrevTotal_Q97.5","PrevUrban_Q2.5","PrevUrban_Med","PrevUrban_Q97.5","PrevRural_Q2.5","PrevRural_Med","PrevRural_Q97.5"
"1",1985,38740.3108276553,53445.2628820996,79156.1334938031,24088.3155523681,35399.1892967484,58756.3366754499,12518.8272923028,17946.0645189556,22756.243150244,0.0131825185103858,0.0181863065159705,0.026935178698869,0.0209121200263986,0.0307315841077162,0.0510089450712007,0.0200034950151203,0.028675530364308,0.0363615844991052
"2",1986,39765.7676761335,54744.978922752,81548.6352550095,24838.6580250466,36721.6784869847,60886.5508532608,12678.1451432826,18168.9990826448,22985.4770722895,0.0134486565388441,0.0185145782863945,0.027579489868979,0.0207709742774267,0.0307079810232889,0.0509155116326758,0.0199028028804929,0.028522627181732,0.0360837815085478
"3",1987,40860.8335447,56167.901134222,84211.8552333906,25671.0734327245,38211.120638672,63252.7279591912,12851.4341615972,18440.9628287034,23274.5537630484,0.0136819652689761,0.0188074301447868,0.0281977526787076,0.0206425485949859,0.0307262147303571,0.0508625988735857,0.0197959841920862,0.0284059354040601,0.0358514616016913
"4",1988,42141.6561124311,57866.1976877538,87293.8933047835,26621.3891595734,39726.9710840305,65939.5274743732,13062.6575772627,18781.5838085295,23675.7202428308,0.0139115807914273,0.0191024833499228,0.028816998697626,0.0205234431942536,0.0306270356304697,0.0508352940661459,0.0196833487693067,0.0283008616245698,0.0356755473492116
"5",1989,43598.9754624321,59945.2547743161,90828.864325817,27709.1243129818,41498.3342719869,69020.5788622875,13330.8209953314,19188.1309666336,24147.3240833234,0.014140672989393,0.0194423432211122,0.0294589782169545,0.0204483460469698,0.0306242914781993,0.0509347269511869,0.0196131186400419,0.0282307510738493,0.0355270190974452
"6",1990,45138.3173419937,62026.8830273604,94401.3316991876,28878.1041705954,43336.6198336505,72121.1928624847,13630.4413015094,19613.2490448221,24610.8503129171,0.0143323727286101,0.0196948503863472,0.0299744242067963,0.0203475833337529,0.0305350890854616,0.0508167701463352,0.0195196311317431,0.0280873801648333,0.0352442528690167
"7",1991,46824.7116566706,64333.5044073124,98361.2204731323,30178.5301408999,45355.3598968448,75536.667222107,13964.9702486766,20090.0970157186,25162.192010109,0.0145627665031202,0.0200081061871884,0.0305909302168248,0.0203232415740975,0.0305438313781384,0.0508689432019937,0.0194839297330794,0.028029708020474,0.0351062961341918
"8",1992,48564.070397204,66632.6534060785,102417.594603633,31463.4141620593,47188.2567669563,79047.4635240407,14275.9906747893,20558.9449751237,25730.2593899189,0.0147807933958291,0.0202800851608155,0.0311714667562386,0.0202349821159528,0.0303480584415972,0.0508375855996331,0.0193965683361132,0.0279331214353194,0.0349593065680427
"9",1993,50461.1362372525,69068.7826462996,106713.031410528,32889.716447287,49056.9102090072,82780.4315933748,14619.3900134227,21032.4842653264,26325.4296660332,0.0150368795265702,0.0205817593725238,0.0317993433538782,0.0201935481071606,0.0301198424097682,0.0508253280441467,0.0193369222501904,0.027819458444816,0.0348203848578878
"10",1994,52307.6361037583,71489.8103882415,111085.234648573,34301.0073849834,50912.9762898055,86593.7242151299,14907.9639265264,21413.3977621059,26923.3081848809,0.0152676085582325,0.0208665220264373,0.0324236766473179,0.0201700629693127,0.0299384191896962,0.0509198126621525,0.0192609104206925,0.0276658528375363,0.034784590956447
