"","Year","NbCasesTotal_Q2.5","NbCasesTotal_Med","NbCasesTotal_Q97.5","NbCasesUrban_Q2.5","NbCasesUrban_Med","NbCasesUrban_Q97.5","NbCasesRural_Q2.5","NbCasesRural_Med","NbCasesRural_Q97.5","PrevTotal_Q2.5","PrevTotal_Med","PrevTotal_Q97.5","PrevUrban_Q2.5","PrevUrban_Med","PrevUrban_Q97.5","PrevRural_Q2.5","PrevRural_Med","PrevRural_Q97.5"
"11",1995,470911.382055844,643381.872867586,1042618.41907477,330356.290645406,473503.805038041,837252.075984706,121455.746371868,172044.845809131,225187.984400106,0.013025459609503,0.0177960119841175,0.0288389379048217,0.0130350036409485,0.0186832338219308,0.033035798523863,0.0112361571562764,0.0159162738955141,0.0208326708122785
"12",1996,477629.101087179,651946.408639413,1065315.86216157,338247.634358561,484795.668115222,860109.199236034,121577.243854171,171509.399879242,225326.972726525,0.0130102706529053,0.017758547811014,0.0290184322228416,0.0130513368659287,0.0187059152319377,0.0331874454111153,0.0112623746135403,0.0158878672517073,0.020873287606561
"13",1997,484516.542012158,664130.636096247,1087341.46604819,345367.528854809,496527.316470468,882690.208317754,121436.709603581,171030.120519305,225042.763175789,0.0130000642605758,0.0178192903606821,0.0291744609443291,0.0130323528523483,0.0187363276754171,0.0333080828190593,0.0112759442051815,0.0158809152741097,0.020896231869537
"14",1998,492396.963548132,677274.252204995,1109898.24276354,351821.262905788,509369.483276736,905644.752440527,121438.101395703,170668.177206956,224879.98673864,0.0130166074205094,0.0179038737230348,0.0293403712294707,0.0129838349917706,0.0187980944246669,0.0334224882536434,0.0113160459078308,0.0159034842119827,0.02095513866274
"15",1999,500226.029141985,691426.122626874,1131477.63156159,358570.76372769,521272.132365514,927875.45664274,121492.779558599,170041.373993448,224645.867397381,0.0130312359859824,0.018012131408432,0.0294757792892747,0.0129413450036665,0.0188134761339944,0.0334883867273896,0.0113764623540413,0.01592250417592,0.0210356143198172
"16",2000,507278.633371228,704785.66771943,1152202.88182585,365319.363686585,534131.727428532,949855.654362016,121104.606850367,168095.971238875,223749.598874344,0.0130257656123439,0.0180972986258902,0.0295859586610019,0.0128936652536711,0.0188517674654032,0.0335244229133105,0.011413115880786,0.01584166654546,0.0210865644722128
"17",2001,515038.19119805,718382.566968947,1173245.77463315,372449.225203533,546588.773772469,973353.765765824,120805.429250582,166560.146688259,223062.305537502,0.013038535869303,0.0181863345813607,0.0297015005440248,0.0128533314735806,0.0188629381231664,0.0335907225625432,0.011478641967657,0.0158261454122993,0.0211948449471922
"18",2002,522848.241529122,730479.935808288,1192628.47611126,381730.159865368,559541.922509256,997914.680311579,120325.262523231,164694.061342848,221963.730553495,0.0130516553111547,0.0182346837506829,0.029771116259181,0.0128776318453945,0.0188760953095239,0.0336645599883945,0.0115508189830282,0.0158100738802352,0.021307768781523
"19",2003,531070.098805038,742019.521090151,1212808.70036229,392374.107069322,572946.621972902,1024051.92206987,119566.965856001,163239.111462315,220407.983894549,0.0130732712519032,0.0182661808586969,0.029855525950681,0.0129331876046176,0.0188851048422987,0.0337541529534695,0.011626457523458,0.0158730514067685,0.0214320405660138
"20",2004,538914.503214458,755140.636042807,1234275.35825668,403299.712147456,586519.785685354,1049189.58368457,118519.657212936,161729.258208227,217910.821021632,0.0130844544746187,0.0183342686368654,0.0299673132527045,0.0129788028658896,0.0188751056498914,0.0337645288737723,0.0117187632271954,0.0159911606936819,0.0215461753454813
"21",2005,547920.326814967,770042.40991312,1258921.89204636,416236.555904043,602456.101269357,1079257.3749538,116781.190080207,159131.188813129,213837.718661196,0.0130682183826727,0.0183659592173928,0.0300260191251219,0.013076205083993,0.0189263519086899,0.0339052170529714,0.0115669639545071,0.0157616541137757,0.0211802361507814
"22",2006,556493.516877972,781445.113454149,1275604.52545698,423765.92604359,611515.445532088,1094461.47094682,119575.430959436,162093.13287903,217774.882303342,0.0131122828078315,0.0184126661239355,0.0300562123033848,0.0131681583506569,0.0190023117144409,0.0340094402885948,0.0116550707011085,0.0157992901109438,0.021226615114873
"23",2007,564625.373098664,790597.216300999,1290975.82033143,431152.528785664,620552.256483639,1108085.73632637,121915.736666408,164234.190363012,221228.514479115,0.0131499230463324,0.0184127264737464,0.0300663652412014,0.0132580398180947,0.0190821251793204,0.0340738922614113,0.0117030182946121,0.0157652800776515,0.0212363179933302
"24",2008,572767.515136285,798284.269852968,1303545.42271549,437643.551223154,630050.10812323,1118968.09086793,124195.053658574,166378.1900079,224596.660092606,0.0131928317293686,0.0183872684222781,0.0300251933969792,0.0133240798005908,0.0191819070463677,0.0340670394785203,0.0117508880608185,0.0157421042863686,0.0212505259576391
"25",2009,581416.445031815,805113.86529211,1317181.08885018,443864.689891416,637225.745302469,1128727.33632651,126372.230206318,169155.648623159,227702.799649082,0.0132487531628809,0.0183461526766489,0.0300146431462493,0.0133817803944613,0.0192112938459254,0.0340292473898782,0.0117936404316523,0.0157863867210972,0.0212502773746853
"26",2010,589902.664411594,815072.26014373,1331121.85663959,449036.055121539,646007.515001676,1138126.25426872,128675.497608939,171062.936657449,230820.875218436,0.013301142213497,0.0183782727227755,0.030014173840557,0.0134067058696694,0.0192876109711932,0.0339806208421268,0.0118525200896965,0.0157568995730391,0.0212613054659582
"27",2011,598191.969679409,822658.093826045,1339105.4322409,453760.419198291,654178.123347754,1146713.79229477,130949.40817456,172269.700082241,233628.649054766,0.0133536638938447,0.0183645054452862,0.0298933532493761,0.0134223757742401,0.0193507944354742,0.033920154280707,0.0119155124179909,0.0156753801272414,0.0212586303964017
"28",2012,605923.295611541,832507.222003782,1347597.58378185,458356.984206935,663190.225239063,1155159.3548075,132914.423972511,174390.746196509,236466.371326378,0.0134001310993196,0.0184110860182755,0.0298024261859379,0.0134401845456253,0.0194464125631032,0.0338721901119956,0.0119589305226908,0.0156907486428679,0.0212759821028139
"29",2013,613742.180514097,844940.428450539,1354545.18761757,463176.372641669,672783.162900345,1163126.82520451,134415.418207867,176272.668702277,239010.181544253,0.0134524937463266,0.018520082521016,0.0296900086780392,0.0134671146389819,0.0195615504527587,0.0338185693829044,0.01196954085316,0.0156968816335086,0.0212835861425582
"30",2014,621701.955872815,857241.950149889,1359789.15062186,467225.901021035,682714.980423716,1170931.64455598,135406.983803688,177650.264316486,241410.550162919,0.0135090134599244,0.0186270815679335,0.0295469714465041,0.0134706958984851,0.0196835104101261,0.0337593957596467,0.0119441743445212,0.0156704305032204,0.0212946896737105
"31",2015,628396.758692288,869527.137826001,1366719.84351917,471719.838669783,692574.234180562,1184626.12587164,136315.482533047,178517.588268985,244287.247380343,0.0135339623375774,0.018727256899492,0.0294354396841594,0.0134796226272964,0.0197906438373858,0.0338512647172425,0.0119197869803532,0.0156100509265104,0.021361124185469
"32",2016,633313.830465107,882831.143611083,1382439.51736269,477162.276035236,703255.994534002,1199857.3471752,136266.487242692,180035.34141415,247399.69039215,0.0135034764874941,0.0188236684826932,0.0294762858792775,0.0134915702979457,0.0198842787123569,0.0339254810364041,0.0118157441451025,0.0156109662343986,0.0214521670177418
"33",2017,637100.837523039,895380.410862862,1402720.87453302,483317.288509357,714701.123192418,1214213.52362583,136293.485666762,182083.947514907,250783.683335525,0.0134387997006183,0.0188868657655911,0.0295885419677283,0.0135049761530815,0.0199703628543122,0.0339278669957994,0.0117297395354201,0.0156705749176669,0.0215830365689763
"34",2018,644150.955019736,913806.790751695,1432411.50045053,492939.328194901,730924.425353203,1229653.41817318,137788.327250013,186443.424630716,256430.73495026,0.013347929071714,0.0189356673822373,0.0296820597105773,0.0135331235192522,0.0200667505426394,0.0337588231293015,0.0116435844667858,0.0157551064469022,0.0216692733111979
"35",2019,654769.148814124,938401.207167611,1473570.9245983,507799.04087067,754409.789926479,1259436.21681577,138869.968887072,188212.540513841,259445.248630876,0.0132555959412911,0.0189976379546326,0.0298319809396746,0.0135681343098918,0.0201574491690044,0.0336515006314291,0.0116016736829563,0.0157239214178658,0.0216749462632674
"36",2020,663357.896890606,960234.049592741,1510047.88298321,520959.55862988,773959.170221227,1285148.64266211,139955.457802493,189626.226752548,261895.847937645,0.0131690683952515,0.0190626929050058,0.0299776695872966,0.0136042301271196,0.020211009638398,0.0335601057562167,0.0115871698977556,0.0156995042633698,0.021682839191972
